C:\Users\jdude\.conda\envs\cs523_code\python.exe C:/Users/jdude/PycharmProjects/CS523FinalProject/Exponents/MultiProgExponents.py
32768
         10800 function calls (10513 primitive calls) in 0.098 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.026    0.026 pool.py:155(__init__)
        1    0.000    0.000    0.010    0.010 pool.py:227(_repopulate_pool)
        1    0.000    0.000    0.015    0.015 pool.py:250(_setup_queues)
        1    0.000    0.000    0.067    0.067 pool.py:263(map)
        1    0.000    0.000    0.000    0.000 pool.py:375(_map_async)
        1    0.000    0.000    0.000    0.000 pool.py:53(RemoteTraceback)
        1    0.000    0.000    0.000    0.000 pool.py:538(close)
        1    0.000    0.000    0.000    0.000 pool.py:59(ExceptionWithTraceback)
        1    0.000    0.000    0.000    0.000 pool.py:629(ApplyResult)
        1    0.000    0.000    0.000    0.000 pool.py:631(__init__)
        1    0.000    0.000    0.000    0.000 pool.py:639(ready)
        1    0.000    0.000    0.067    0.067 pool.py:647(wait)
        1    0.000    0.000    0.067    0.067 pool.py:650(get)
        1    0.000    0.000    0.000    0.000 pool.py:674(MapResult)
        1    0.000    0.000    0.000    0.000 pool.py:676(__init__)
        1    0.000    0.000    0.000    0.000 pool.py:715(IMapIterator)
        1    0.000    0.000    0.000    0.000 pool.py:76(MaybeEncodingError)
        1    0.000    0.000    0.000    0.000 pool.py:779(IMapUnorderedIterator)
        1    0.000    0.000    0.000    0.000 pool.py:793(ThreadPool)
        1    0.000    0.000    0.005    0.005 popen_spawn_win32.py:1(<module>)
        3    0.000    0.000    0.000    0.000 popen_spawn_win32.py:113(poll)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:22(_path_eq)
        1    0.000    0.000    0.000    0.000 popen_spawn_win32.py:39(Popen)
        3    0.000    0.000    0.005    0.002 popen_spawn_win32.py:45(__init__)
       15    0.000    0.000    0.000    0.000 popen_spawn_win32.py:54(<genexpr>)
        6    0.000    0.000    0.000    0.000 popen_spawn_win32.py:93(duplicate_for_child)
        3    0.000    0.000    0.000    0.000 popen_spawn_win32.py:97(wait)
        1    0.000    0.000    0.000    0.000 posixpath.py:11(<module>)
        3    0.000    0.000    0.010    0.003 process.py:101(start)
        3    0.000    0.000    0.000    0.000 process.py:180(name)
        3    0.000    0.000    0.000    0.000 process.py:184(name)
        3    0.000    0.000    0.000    0.000 process.py:196(daemon)
        3    0.000    0.000    0.000    0.000 process.py:204(authkey)
        6    0.000    0.000    0.000    0.000 process.py:326(__reduce__)
        8    0.000    0.000    0.000    0.000 process.py:36(current_process)
        3    0.000    0.000    0.000    0.000 process.py:53(_cleanup)
        3    0.000    0.000    0.000    0.000 process.py:72(__init__)
        6    0.000    0.000    0.000    0.000 process.py:85(<genexpr>)
        3    0.000    0.000    0.000    0.000 process.py:90(_check_closed)
