C:\Users\jdude\.conda\envs\cs523_code\python.exe C:/Users/jdude/PycharmProjects/CS523FinalProject/Exponents/DaskExponents.py
32317006071311007300714876688669951960444102669715484032130345427524655138867890893197201411522913463688717960921898019494119559150490921095088152386448283120630877367300996091750197750389652106796057638384067568276792218642619756161838094338476170470581645852036305042887575891541065808607552399123930385521914333389668342420684974786564569494856176035326322058077805659331026192708460314150258592864177116725943603718461857357598351152301645904403697613233287231227125684710820209725157101726931323469678542580656697935045997268352998638215525166389437335543602135433229604645318478604952148193555853611059596230656
         278581 function calls (264419 primitive calls) in 1.080 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      387    0.000    0.000    0.001    0.000 core.py:121(<genexpr>)
        1    0.000    0.000    0.002    0.002 core.py:130(get)
      770    0.003    0.000    0.003    0.000 core.py:159(keys_in_tasks)
      770    0.001    0.000    0.004    0.000 core.py:222(get_dependencies)
      644    0.000    0.000    0.000    0.000 core.py:26(istask)
 1540/516    0.001    0.000    0.001    0.000 core.py:276(flatten)
        2    0.000    0.000    0.000    0.000 core.py:305(reverse_dict)
        1    0.000    0.000    0.001    0.001 core.py:360(_toposort)
      131    0.000    0.000    0.001    0.000 core.py:382(<genexpr>)
        1    0.000    0.000    0.001    0.001 core.py:429(toposort)
      128    0.000    0.000    0.000    0.000 core.py:43(has_tasks)
        1    0.000    0.000    0.000    0.000 core.py:481(__init__)
        1    0.000    0.000    0.000    0.000 core.py:490(__call__)
        1    0.000    0.000    0.000    0.000 core.py:494(quote)
      385    0.000    0.000    0.000    0.000 core.py:8(ishashable)
  516/131    0.001    0.000    0.001    0.000 core.py:86(_execute_task)
      384    0.000    0.000    0.000    0.000 dataclasses.py:1036(is_dataclass)
      256    0.000    0.000    0.002    0.000 delayed.py:198(tokenize)
      128    0.000    0.000    0.002    0.000 delayed.py:220(delayed)
      128    0.000    0.000    0.001    0.000 delayed.py:23(unzip)
      384    0.000    0.000    0.001    0.000 delayed.py:42(unpack_collections)
        1    0.000    0.000    0.001    0.001 delayed.py:464(optimize)
      256    0.000    0.000    0.000    0.000 delayed.py:478(__init__)
      384    0.000    0.000    0.000    0.000 delayed.py:483(key)
      256    0.000    0.000    0.000    0.000 delayed.py:487(dask)
      256    0.000    0.000    0.000    0.000 delayed.py:491(__dask_graph__)
      256    0.000    0.000    0.000    0.000 delayed.py:494(__dask_keys__)
      128    0.000    0.000    0.000    0.000 delayed.py:505(__dask_tokenize__)
      128    0.000    0.000    0.000    0.000 delayed.py:511(__dask_postcompute__)
     1152    0.000    0.000    0.000    0.000 delayed.py:544(__setattr__)
      128    0.001    0.000    0.004    0.000 delayed.py:595(call_function)
      128    0.000    0.000    0.000    0.000 delayed.py:627(__init__)
      128    0.000    0.000    0.004    0.000 delayed.py:639(__call__)
      128    0.000    0.000    0.000    0.000 delayed.py:711(single_key)
        1    0.000    0.000    0.000    0.000 dis.py:119(_get_code_object)
        1    0.000    0.000    0.000    0.000 dis.py:251(get_instructions)
        2    0.000    0.000    0.000    0.000 dis.py:273(_get_const_info)
        8    0.000    0.000    0.000    0.000 dis.py:285(_get_name_info)
       23    0.000    0.000    0.000    0.000 dis.py:301(_get_instructions_bytes)
       46    0.000    0.000    0.000    0.000 dis.py:406(_unpack_opargs)
        1    0.000    0.000    0.000    0.000 dis.py:417(findlabels)
        6    0.000    0.000    0.000    0.000 dis.py:436(findlinestarts)
        2    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.000    0.000 functools.py:67(wraps)
        1    0.000    0.000    0.000    0.000 functools.py:763(singledispatch)
        2    0.000    0.000    0.000    0.000 functools.py:804(register)
      128    0.000    0.000    0.000    0.000 highlevelgraph.py:451(__init__)
      128    0.000    0.000    0.000    0.000 highlevelgraph.py:458(__getitem__)
      128    0.000    0.000    0.000    0.000 highlevelgraph.py:461(__iter__)
      129    0.000    0.000    0.001    0.000 highlevelgraph.py:543(__init__)
      129    0.000    0.000    0.001    0.000 highlevelgraph.py:552(<dictcomp>)
      128    0.000    0.000    0.001    0.000 highlevelgraph.py:577(from_collections)
      128    0.000    0.000    0.000    0.000 highlevelgraph.py:61(__init__)
        1    0.000    0.000    0.000    0.000 highlevelgraph.py:762(merge)
        1    0.000    0.000    0.000    0.000 inspect.py:478(getmro)
      128    0.000    0.000    0.428    0.003 local.py:122(queue_get)
        1    0.000    0.000    0.001    0.001 local.py:139(start_state_from_dask)
        1    0.000    0.000    0.000    0.000 local.py:173(<dictcomp>)
        1    0.000    0.000    0.000    0.000 local.py:174(<dictcomp>)
        1    0.000    0.000    0.000    0.000 local.py:180(<genexpr>)
        1    0.000    0.000    0.000    0.000 local.py:182(<listcomp>)
        1    0.000    0.000    0.000    0.000 local.py:184(<genexpr>)
      128    0.000    0.000    0.000    0.000 local.py:249(finish_task)
    257/1    0.000    0.000    0.000    0.000 local.py:286(nested_get)
    129/1    0.000    0.000    0.000    0.000 local.py:300(<listcomp>)
        1    0.001    0.001    0.560    0.560 local.py:348(get_async)
      128    0.002    0.000    0.128    0.001 local.py:444(fire_task)
      128    0.000    0.000    0.000    0.000 local.py:454(<genexpr>)
        1    0.000    0.000    0.000    0.000 multiprocessing.py:127(get_context)
        1    0.000    0.000    1.069    1.069 multiprocessing.py:141(get)
      260    0.001    0.000    0.001    0.000 ntpath.py:122(splitdrive)
      128    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
      128    0.001    0.000    0.002    0.000 ntpath.py:450(normpath)
      128    0.000    0.000    0.002    0.000 ntpath.py:67(isabs)
        2    0.000    0.000    0.000    0.000 ntpath.py:75(join)
        2    0.000    0.000    0.001    0.001 optimization.py:18(cull)
        1    0.000    0.000    0.000    0.000 optimization.py:428(fuse)
        1    0.000    0.000    0.000    0.000 optimization.py:558(<setcomp>)
        1    0.000    0.000    0.000    0.000 order.py:111(<dictcomp>)
        1    0.000    0.000    0.000    0.000 order.py:131(<setcomp>)
        1    0.000    0.000    0.000    0.000 order.py:136(<dictcomp>)
      129    0.000    0.000    0.000    0.000 order.py:158(<genexpr>)
        1    0.000    0.000    0.000    0.000 order.py:217(<dictcomp>)
